City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,igarka,67.4667,86.5833,252.39,91,100,5.25,RU,1731348836
1,talnakh,69.4865,88.3972,245.08,91,29,0.76,RU,1731348837
2,edinburgh of the seven seas,-37.0676,-12.3116,286.12,81,99,7.58,SH,1731348838
3,west island,-12.1568,96.8225,300.14,83,100,5.66,CC,1731348839
4,aasiaat,68.7098,-52.8699,269.96,77,100,4.27,GL,1731348840
5,georgetown,5.4112,100.3354,300.11,86,20,1.54,MY,1731348841
6,adamstown,-25.066,-130.1015,294.06,68,100,1.28,PN,1731348842
7,myeik,12.4333,98.6,299.19,79,87,2.16,MM,1731348843
8,yauya,-8.9833,-77.3,291.61,39,89,2.25,PE,1731348845
9,uturoa,-16.7333,-151.4333,299.31,82,81,8.32,PF,1731348846
10,batticaloa,7.7102,81.6924,299.28,85,11,3.45,LK,1731348847
11,kievka,50.2619,71.5514,258.23,97,13,2.88,KZ,1731348848
12,albany,42.6001,-73.9662,288.66,61,78,0.45,US,1731348849
13,waitangi,-43.9535,-176.5597,284.72,94,73,1.34,NZ,1731348850
14,akureyri,65.6835,-18.0878,283.45,88,100,7.71,IS,1731348851
15,puerto ayora,-0.7393,-90.3518,296.79,81,99,4.02,EC,1731348852
16,longyearbyen,78.2186,15.6401,273.06,100,75,2.06,SJ,1731348853
17,hawaiian paradise park,19.5933,-154.9731,296.43,73,75,0.0,US,1731348855
18,wailua homesteads,22.0669,-159.378,296.59,91,75,6.69,US,1731348856
19,goure,13.9835,10.2704,300.15,21,7,3.68,NE,1731348857
20,anadyr,64.75,177.4833,260.43,78,0,6.0,RU,1731348858
21,grytviken,-54.2811,-36.5092,273.0,87,97,2.93,GS,1731348859
22,lappeenranta,61.0587,28.1887,273.18,100,100,2.06,FI,1731348860
23,tiksi,71.6872,128.8694,257.1,94,100,2.46,RU,1731348861
24,la'ie,21.6477,-157.9253,297.81,90,20,4.92,US,1731348862
25,north haven,41.3909,-72.8595,293.81,59,20,5.66,US,1731348863
26,buala,-8.145,159.5921,299.76,82,90,1.52,SB,1731348865
27,port-aux-francais,-49.35,70.2167,277.83,91,97,6.24,TF,1731348866
28,walvis bay,-22.9575,14.5053,287.92,86,9,4.72,NA,1731348867
29,kununurra,-15.7667,128.7333,302.14,74,75,1.54,AU,1731348868
30,papatowai,-46.5619,169.4708,280.23,86,8,2.91,NZ,1731348869
31,kasongo-lunda,-6.4667,16.8167,295.59,87,28,0.68,CD,1731348870
32,bethel,41.3712,-73.414,292.71,58,75,5.66,US,1731348656
33,kalevala,65.2,31.1667,271.49,94,96,2.3,RU,1731348872
34,majene,-3.5403,118.9707,297.39,91,100,2.7,ID,1731348874
35,port elizabeth,-33.918,25.5701,291.66,87,26,2.68,ZA,1731348664
36,cockburn town,21.4612,-71.1419,302.13,84,40,6.17,TC,1731348877
37,alice springs,-23.7,133.8833,295.9,73,75,10.8,AU,1731348878
38,ust-nera,64.5667,143.2,243.52,99,94,0.76,RU,1731348879
39,lengshuitan,26.4111,111.5956,292.21,64,0,1.12,CN,1731348880
40,puerto natales,-51.7236,-72.4875,286.4,50,100,9.77,CL,1731348881
41,sopur,34.3,74.4667,282.51,66,100,0.94,IN,1731348882
42,st. john's,47.5649,-52.7093,280.91,74,84,0.89,CA,1731348883
43,severo-yeniseyskiy,60.3725,93.0408,258.66,95,72,2.66,RU,1731348884
44,kamensk-ural'skiy,56.4185,61.9329,264.27,90,38,3.95,RU,1731348886
45,igurusi,-8.85,33.85,295.43,59,34,1.2,TZ,1731348887
46,manta,-0.95,-80.7333,302.03,58,40,5.66,EC,1731348888
47,tataouine,32.9297,10.4518,293.55,55,23,2.37,TN,1731348889
48,keflavik,64.0049,-22.5624,283.39,100,100,13.89,IS,1731348890
49,margaret river,-33.95,115.0667,288.4,74,57,4.81,AU,1731348891
50,thompson,55.7435,-97.8558,268.24,86,100,2.57,CA,1731348892
51,ilulissat,69.2167,-51.1,267.16,73,75,2.06,GL,1731348893
52,leitchfield,37.48,-86.2939,290.47,67,0,0.89,US,1731348894
53,selfoss,63.9331,-20.9971,283.73,98,100,8.88,IS,1731348896
54,coquimbo,-29.9533,-71.3436,292.03,55,0,4.83,CL,1731348897
55,hithadhoo,-0.6,73.0833,301.7,73,48,7.11,MV,1731348898
56,susuman,62.7833,148.1667,249.91,91,100,1.19,RU,1731348899
57,pirai do sul,-24.5261,-49.9486,300.56,38,0,2.5,BR,1731348900
58,stanley,54.868,-1.6985,278.86,87,0,1.54,GB,1731348901
59,obligado,-27.0333,-55.6333,308.24,28,37,4.26,PY,1731348902
60,port sudan,19.6175,37.2164,301.81,70,99,6.29,SD,1731348903
